

 ********* 2018-05-06 18:50:41 Duration: 00:00:15 *********
---------- SCRIPT CALLS ----------
     TOTAL     AVERAGE     LONGEST    SHORTEST      COUNT  ELEMENT
  millisec    microsec    microsec    microsec
         1           8          60           4        152  cwt_do.ClsDataOrderHelperUI.getBasketContext
         1         166         477          29          8  cwt_do._getVisualKey
         1           8          39           5        151  cwt_do.api.orderClassUI.updateProductPrice
         1       1,310       1,310       1,310          1  security.getUserPreferenceByKey
         1         313         358         263          4  cwt_do.api.orderClassUI.getRelatedObjects
         1         243         645          32          5  api_common.putObjectInCache
         1           7          51           4        151  cwt_do.api.orderClassUI.getRootProductOffering
         1       1,123       1,123       1,123          1  cwl_security.getUserGroups
         1           7          99           4        153  cwt_do.doCatalogTypeConfig.getResourceTypes
         1           6          20           4        151  cwl_on.mapOnExtendedOrderItem2DoOrderItem.cwOnMapConv
         1       1,010       1,010       1,010          1  api_common.getDocumentById
         0          20          85          14         46  checkAddonPO/$g/1368158400
         0           2          41           0        302  eoc_commons.forEach
         0         867         867         867          1  cwtsr_cacheLib.updateOnDemand
         0          50          74          34         16  cwt_do.api.orderClassUI.mapRelatedObjectDoc2Structure
         0         683         683         683          1  cwl_security.getUserPreferenceByKey
         0           2          19           0        302  cwt_do.ClsDataOrderHelperUI.getAccounts
         0         315         341         288          2  cwt_do.ClsDataOrderHelperUI.onInit
         0         301         330         272          2  cwt_do.ClsDataOrderHelperUI.initGlobalVariables
         0           0           9           0        775  cwt_do.isPerItemUnderPOOI
         0           1          18           0        302  cwt_do.ClsDataOrderHelperUI.getSites
         0         263         512          15          2  cwt_do.orderInstance.cwOnDocStore
         0         424         424         424          1  cwl_on.mapDataOrder2ONResponse
         0         405         405         405          1  cwl_on.mapDO2ONResponseHandler
         0         290         290         290          1  security.data.userProfile.computeVisualKey
         0         285         285         285          1  api_common.getVisualKey
         0         279         279         279          1  api_common.computeResourceKey
         0         246         246         246          1  checkBasicPO/$g/1368158400
         0          59          96          26          4  api_common.loadDocument
         0          16         115           0         14  eoc_commons.jsonToDsArr
         0         223         223         223          1  cwt_do.api.orderClassUI.onInit
         0         221         221         221          1  cwt_do.api.orderClassUI.findRelatedObjects
         0         215         215         215          1  cwt_do.api.orderClassUI.fetchRelatedObjects
         0          69          72          67          3  cwt_do.api.mapOrder2OrderInstanceDoc.notes--157140706.cwOnItemConversion
         0         204         204         204          1  cwt_do.api.orderClassUI.initGlobalVariables
         0          32          60          13          6  cwt_do.orderInstance.cwOnDocInit
         0         185         185         185          1  on.service.getDataURL
         0          36         127           9          5  api_common.data.object.cwOnStructVisualKey
         0           1          13           1        104  checkOptionalPO/$g/1368158400
         0          34          65          19          5  cwt_do.api.orderClassUI.initDataOrderCollection
         0          18          23          12          7  cwt_do.ClsDataOrderHelperUI.getAllItemsInBasket
         0         119         119         119          1  cwtsr_cacheLib.getCachedProductsForCustomer
         0         116         116         116          1  isBasicPO/$g/1368158400
         0          56          59          54          2  cwl_on.createHashRequestID
         0           3          10           0         33  api_common.isFault
         0          36          42          28          3  cwt_do.api.mapOrder2OrderInstanceDoc.updatedBy-1311387404.cwOnItemConversion
         0          97          97          97          1  cwt_do.ClsDataOrderHelperUI.addSite
         0          32          45          24          3  cwl_om.scheduledOrderProcess.start.loopBack.cwOnDuration
         0          88          88          88          1  api_common.isModelExtended
         0          22          30          18          4  cwt_do.relatedObject.cwOnDocStore
         0          17          82           0          5  api_common.getVisualKeyFromCache
         0          79          79          79          1  cwl_interface_controller.TmfRestListenerController.onRequestIn
         0          79          79          79          1  cwt_do.ClsDataOrderHelperUI.addAccount
         0          18          25          12          4  cwt_do.siteDoc.cwOnDocVisualKey
         0           7          14           4          9  cwt_do.api.orderClassUI.setField
         0          62          62          62          1  ui_common.getDefaultPreference
         0          14          29           7          4  cwt_do.relatedObject.cwOnDocInit
         0          55          55          55          1  ui_common.getDefaultPreferenceData
         0          27          33          20          2  cwl_on.addDaysFromToday
         0          52          52          52          1  on.service.setUserLanguage
         0          12          17          10          4  cwt_do.relatedObject.cwOnDocLoad
         0          12          22           7          4  cwt_do.api.orderClassUI.findRelatedObjectInstance
